Partner,Year,On-Campus,Off-Campus,Notes
Baylor College of Medicine,2007,0.37,0.26,Assumed
Baylor College of Medicine,2008,0.37,0.26,Assumed
Baylor College of Medicine,2009,0.37,0.26,Assumed
Baylor College of Medicine,2010,0.37,0.26,Agreement
Baylor College of Medicine,2011,0.37,0.26,Agreement
Baylor College of Medicine,2012,0.37,0.26,Agreement
Baylor College of Medicine,2013,0.37,0.26,Agreement
Baylor College of Medicine,2014,0.37,0.26,Agreement
Baylor College of Medicine,2015,0.37,0.26,Agreement
Baylor College of Medicine,2016,0.37,0.26,Agreement
Baylor College of Medicine,2017,0.37,0.26,Agreement
Boston University,2007,0.363,0.26,Assumed
Boston University,2008,0.363,0.26,Assumed
Boston University,2009,0.363,0.26,Assumed
Boston University,2010,0.363,0.26,Assumed
Boston University,2011,0.363,0.26,Assumed
Boston University,2012,0.363,0.26,Agreement
Boston University,2013,0.363,0.26,Agreement
Boston University,2014,0.363,0.26,Agreement
Boston University,2015,0.363,0.26,Agreement
Boston University,2016,0.363,0.26,Agreement
Boston University,2017,0.38,0.26,Agreement
Charles R. Drew University of Medicine and Science,2007,0.346,0.253,Agreement
Charles R. Drew University of Medicine and Science,2008,0.346,0.253,Agreement
Charles R. Drew University of Medicine and Science,2009,0.346,0.253,Agreement
Charles R. Drew University of Medicine and Science,2010,0.346,0.253,Agreement
Charles R. Drew University of Medicine and Science,2011,0.346,0.253,Agreement
Charles R. Drew University of Medicine and Science,2012,0.346,0.253,Agreement
Charles R. Drew University of Medicine and Science,2013,0.35,0.253,Agreement
Charles R. Drew University of Medicine and Science,2014,0.35,0.253,Agreement
Charles R. Drew University of Medicine and Science,2015,0.35,0.253,Agreement
Charles R. Drew University of Medicine and Science,2016,0.35,0.253,Agreement
Charles R. Drew University of Medicine and Science,2017,0.35,0.253,Agreement
Columbia University,2007,0.31,0.264,Assumed
Columbia University,2008,0.31,0.264,Assumed
Columbia University,2009,0.31,0.264,Agreement
Columbia University,2010,0.31,0.26,Agreement
Columbia University,2011,0.31,0.26,Agreement
Columbia University,2012,0.31,0.26,Agreement
Columbia University,2013,0.31,0.26,Agreement
Columbia University,2014,0.31,0.26,Agreement
Columbia University,2015,0.31,0.26,Agreement
Columbia University,2016,0.31,0.26,Agreement
Columbia University,2017,0.31,0.26,Agreement
Emory University,2007,0.363,0.255,Agreement
Emory University,2008,0.363,0.255,Agreement
Emory University,2009,0.363,0.255,Agreement
Emory University,2010,0.363,0.255,Agreement
Emory University,2011,0.363,0.255,Agreement
Emory University,2012,0.39,0.26,Agreement
Emory University,2013,0.39,0.26,Agreement
Emory University,2014,0.39,0.26,Agreement
Emory University,2015,0.39,0.26,Agreement
Emory University,2016,0.39,0.26,Agreement
Emory University,2017,0.39,0.26,Agreement
Harvard University,2007,0.45,0.26,Agreement
Harvard University,2008,0.45,0.26,Agreement
Harvard University,2009,0.45,0.26,Agreement
Harvard University,2010,0.45,0.26,Agreement
Harvard University,2011,0.45,0.26,Agreement
